accommodates,price,neighbourhood_cleansed,neighbourhood_group_cleansed,room_type,availability_90,number_of_reviews,amenities,number_of_reviews_l30d,bedrooms,beds,minimum_nights,review_scores_cleanliness,review_scores_location,review_scores_value,calculated_host_listings_count_entire_homes,latitude,longitude,bathroom_number,air_conditioning,kitchen,coffee_maker,elevator,distance
6,579,la Marina de Port,Sants-Montjuïc,Entire home/apt,18,20,"[""HS conditioner"", ""Central heating"", ""HS shampoo"", ""Fire extinguisher"", ""Mini fridge"", ""Baking sheet"", ""Cooking basics"", ""Trash compactor"", ""Ethernet connection"", ""Smeg stainless steel stove"", ""Private patio or balcony"", ""Room-darkening shades"", ""Hangers"", ""Hot water kettle"", ""Freezer"", ""Bathtub"", ""Cleaning products"", ""Central air conditioning"", ""55\"" HDTV"", ""Microwave"", ""Toaster"", ""Extra pillows and blankets"", ""Iron"", ""Shower gel"", ""Wine glasses"", ""Single level home"", ""Dishwasher"", ""Paid parking garage on premises"", ""Coffee maker"", ""Free street parking"", ""Drying rack for clothing"", ""Hot water"", ""Kitchen"", ""Dishes and silverware"", ""Wifi"", ""Carbon monoxide alarm"", ""Clothing storage: closet"", ""Nespresso machine"", ""Refrigerator"", ""Essentials"", ""Bed linens"", ""Smeg stainless steel oven"", ""Elevator"", ""Crib"", ""Long term stays allowed"", ""Hair dryer"", ""Smoke alarm"", ""Laundromat nearby"", ""Free washer \u2013 In unit"", ""Luggage dropoff allowed"", ""Dedicated workspace"", ""Shared pool"", ""Outdoor furniture"", ""HS body soap""]",4,2.0,3.0,1,4.7,4.5,4.6,2,41.35733,2.12414,2.0,0,1,1,1,5.087696492802302
8,579,el Barri Gòtic,Ciutat Vella,Entire home/apt,66,109,"[""Stove"", ""Air conditioning"", ""Security cameras on property"", ""Dryer"", ""High chair"", ""Hangers"", ""TV"", ""Microwave"", ""Iron"", ""Dishwasher"", ""Coffee maker"", ""Kitchen"", ""Hot water"", ""Dishes and silverware"", ""Wifi"", ""Heating"", ""Backyard"", ""Shared outdoor pool - rooftop"", ""Refrigerator"", ""Essentials"", ""Elevator"", ""Long term stays allowed"", ""Oven"", ""Shampoo"", ""Pack \u2019n play/Travel crib"", ""Hair dryer"", ""Washer"", ""Patio or balcony""]",0,3.0,6.0,1,4.83,4.89,4.57,4,41.37775,2.17867,3.0,1,1,1,1,1.8794645676324893
9,578,Sant Antoni,Eixample,Entire home/apt,49,53,"[""Cable TV"", ""Stove"", ""Air conditioning"", ""Smart lock"", ""Hangers"", ""Microwave"", ""Iron"", ""Dishwasher"", ""Coffee maker"", ""Kitchen"", ""Hot water"", ""Dishes and silverware"", ""Wifi"", ""Heating"", ""Refrigerator"", ""Essentials"", ""Elevator"", ""Private entrance"", ""Long term stays allowed"", ""Oven"", ""Shampoo"", ""Hair dryer"", ""TV with standard cable"", ""Washer"", ""Dedicated workspace"", ""Patio or balcony""]",3,5.0,6.0,2,4.62,4.66,4.4,127,41.38103,2.1592,2.0,1,1,1,1,1.2362420665899103
6,576,el Putxet i el Farró,Sarrià-Sant Gervasi,Entire home/apt,74,41,"[""Air conditioning"", ""Dryer"", ""Smart lock"", ""Hangers"", ""Hot water kettle"", ""Cleaning products"", ""TV"", ""Microwave"", ""Toaster"", ""Iron"", ""Shower gel"", ""Dishwasher"", ""Coffee maker"", ""Kitchen"", ""Hot water"", ""Dishes and silverware"", ""Wifi"", ""Heating"", ""Refrigerator"", ""Essentials"", ""Bed linens"", ""Elevator"", ""Long term stays allowed"", ""Oven"", ""Shampoo"", ""Hair dryer"", ""Washer"", ""Patio or balcony"", ""Clothing storage""]",0,3.0,4.0,2,4.39,4.41,4.22,161,41.405,2.14957,2.0,1,1,1,1,2.004504152878848
9,570,el Poble Sec,Sants-Montjuïc,Entire home/apt,59,54,"[""Air conditioning"", ""Dryer"", ""Smart lock"", ""Hangers"", ""Hot water kettle"", ""Cleaning products"", ""TV"", ""Microwave"", ""Toaster"", ""Iron"", ""Shower gel"", ""Dishwasher"", ""Coffee maker"", ""Kitchen"", ""Hot water"", ""Dishes and silverware"", ""Wifi"", ""Refrigerator"", ""Essentials"", ""Bed linens"", ""Elevator"", ""Long term stays allowed"", ""Shampoo"", ""Hair dryer"", ""Washer"", ""Patio or balcony"", ""Clothing storage""]",1,6.0,9.0,2,4.46,4.78,4.19,161,41.37361,2.1685,2.0,1,1,1,1,1.9802370053990912
14,570,la Dreta de l'Eixample,Eixample,Entire home/apt,54,51,"[""Cable TV"", ""Fire extinguisher"", ""Stove"", ""Air conditioning"", ""Cooking basics"", ""Security cameras on property"", ""Room-darkening shades"", ""Hangers"", ""Microwave"", ""Paid parking on premises"", ""Iron"", ""Dishwasher"", ""Coffee maker"", ""Kitchen"", ""Hot water"", ""Dishes and silverware"", ""Wifi"", ""Babysitter recommendations"", ""Carbon monoxide alarm"", ""Heating"", ""Refrigerator"", ""Essentials"", ""Bed linens"", ""Elevator"", ""Crib"", ""Long term stays allowed"", ""Oven"", ""Paid parking off premises"", ""Shampoo"", ""Hair dryer"", ""TV with standard cable"", ""Washer"", ""Smoke alarm""]",3,7.0,7.0,1,4.59,4.96,4.2,43,41.39104,2.16719,5.0,1,1,1,1,0.17690514414156444
8,570,la Dreta de l'Eixample,Eixample,Entire home/apt,51,116,"[""Air conditioning"", ""Dryer"", ""High chair"", ""Room-darkening shades"", ""Bedroom comforts"", ""TV"", ""Iron"", ""Bathroom essentials"", ""Dishwasher"", ""Coffee maker"", ""Wifi"", ""Carbon monoxide alarm"", ""Heating"", ""Free parking on premises"", ""Elevator"", ""Crib"", ""Pack \u2019n play/Travel crib"", ""Hair dryer"", ""Washer"", ""Smoke alarm"", ""Full kitchen""]",1,4.0,6.0,3,4.88,4.96,4.72,1,41.394421,2.169944,3.0,1,0,1,1,0.5384381053807782
9,569,la Dreta de l'Eixample,Eixample,Entire home/apt,49,59,"[""Bathtub"", ""Oven"", ""Dishes and silverware"", ""Wifi"", ""Long term stays allowed"", ""Heating"", ""TV"", ""Hair dryer"", ""Air conditioning"", ""Washer"", ""Refrigerator"", ""Iron"", ""Patio or balcony"", ""Dryer"", ""High chair"", ""Elevator"", ""Dishwasher"", ""Coffee maker""]",3,5.0,7.0,1,4.81,4.98,4.71,34,41.394001,2.16193,3.5,1,0,1,1,0.40493706073956676
12,569,la Dreta de l'Eixample,Eixample,Entire home/apt,32,86,"[""Host greets you"", ""Oven"", ""Dishes and silverware"", ""Wifi"", ""Long term stays allowed"", ""Heating"", ""TV"", ""Hair dryer"", ""Air conditioning"", ""Washer"", ""Refrigerator"", ""Iron"", ""Patio or balcony"", ""High chair"", ""Elevator"", ""Dishwasher"", ""Coffee maker""]",6,6.0,10.0,1,4.73,4.99,4.69,34,41.3932,2.1602,4.0,1,0,1,1,0.462470970804255
10,569,la Dreta de l'Eixample,Eixample,Entire home/apt,47,10,"[""Long term stays allowed"", ""Oven"", ""Dishes and silverware"", ""Wifi"", ""Heating"", ""TV"", ""Hair dryer"", ""Air conditioning"", ""Washer"", ""Refrigerator"", ""Iron"", ""Patio or balcony"", ""High chair"", ""Smart lock"", ""Elevator"", ""Dishwasher"", ""Coffee maker""]",3,5.0,5.0,1,5.0,4.9,4.8,34,41.39243,2.16064,4.0,1,0,1,1,0.3939527904129103
