accommodates,price,neighbourhood_cleansed,neighbourhood_group_cleansed,room_type,availability_90,number_of_reviews,amenities,number_of_reviews_l30d,bedrooms,beds,minimum_nights,review_scores_cleanliness,review_scores_location,review_scores_value,calculated_host_listings_count_entire_homes,latitude,longitude,bathroom_number,air_conditioning,kitchen,coffee_maker,elevator,distance
10,539,la Dreta de l'Eixample,Eixample,Entire home/apt,14,1,"[""Central heating"", ""Crib - available upon request"", ""Cooking basics"", ""Security cameras on property"", ""Dining table"", ""Conditioner"", ""Room-darkening shades"", ""Smart lock"", ""Stainless steel electric stove"", ""Hangers"", ""Hot water kettle"", ""Freezer"", ""Free dryer \u2013 In unit"", ""Safe"", ""Microwave"", ""Toaster"", ""Iron"", ""Shower gel"", ""Clothing storage: dresser and closet"", ""HDTV"", ""Wine glasses"", ""Single level home"", ""Dishwasher"", ""Coffee maker"", ""Kitchen"", ""Hot water"", ""Dishes and silverware"", ""Wifi"", ""Refrigerator"", ""Essentials"", ""Bed linens"", ""Body soap"", ""Long term stays allowed"", ""Shampoo"", ""Hair dryer"", ""AC - split type ductless system"", ""Free washer \u2013 In unit"", ""Dedicated workspace""]",1,5.0,8.0,1,5.0,5.0,5.0,1,41.3901,2.17003,4.0,0,1,1,0,0.4313313547230945
8,536,la Dreta de l'Eixample,Eixample,Entire home/apt,5,24,"[""Air conditioning"", ""Cooking basics"", ""Security cameras on property"", ""Dryer"", ""Hangers"", ""TV"", ""Iron"", ""Coffee maker"", ""Kitchen"", ""Dishes and silverware"", ""Wifi"", ""Heating"", ""Refrigerator"", ""Essentials"", ""Elevator"", ""Long term stays allowed"", ""Shampoo"", ""Hair dryer"", ""Washer"", ""Dedicated workspace"", ""Patio or balcony""]",1,3.0,4.0,3,4.79,4.96,4.75,17,41.39511,2.16434,2.0,1,1,1,1,0.435514862705163
10,535,la Dreta de l'Eixample,Eixample,Entire home/apt,31,88,"[""Cable TV"", ""Stove"", ""Baking sheet"", ""Cooking basics"", ""Dining table"", ""Smart lock"", ""Hangers"", ""Hot water kettle"", ""Freezer"", ""Cleaning products"", ""Microwave"", ""Toaster"", ""Iron"", ""Shower gel"", ""Wine glasses"", ""Dishwasher"", ""Coffee maker"", ""Drying rack for clothing"", ""Hot water"", ""Kitchen"", ""Dishes and silverware"", ""Wifi"", ""Carbon monoxide alarm"", ""Heating"", ""Refrigerator"", ""Essentials"", ""Bed linens"", ""Elevator"", ""Long term stays allowed"", ""Oven"", ""Outdoor dining area"", ""Shampoo"", ""Hair dryer"", ""TV with standard cable"", ""Washer"", ""Smoke alarm"", ""Patio or balcony"", ""Clothing storage"", ""Outdoor furniture""]",2,4.0,8.0,3,4.74,4.86,4.57,24,41.39495,2.1657,2.0,0,1,1,1,0.41643738821335063
8,534,el Besòs i el Maresme,Sant Martí,Entire home/apt,65,9,"[""Air conditioning"", ""Smart lock"", ""Hangers"", ""Hot water kettle"", ""Cleaning products"", ""TV"", ""Microwave"", ""Toaster"", ""Iron"", ""Shower gel"", ""Dishwasher"", ""Coffee maker"", ""Kitchen"", ""Hot water"", ""Dishes and silverware"", ""Wifi"", ""Heating"", ""Pool"", ""Refrigerator"", ""Essentials"", ""Bed linens"", ""Elevator"", ""Long term stays allowed"", ""Oven"", ""Shampoo"", ""Hair dryer"", ""Washer"", ""Patio or balcony"", ""Clothing storage""]",1,3.0,6.0,3,3.89,4.22,4.0,161,41.41234,2.22135,2.0,1,1,1,1,5.246995821298002
7,532,la Dreta de l'Eixample,Eixample,Entire home/apt,20,70,"[""Stove"", ""Air conditioning"", ""Cooking basics"", ""Security cameras on property"", ""Dryer"", ""Paid parking garage off premises"", ""Hangers"", ""Freezer"", ""TV"", ""Microwave"", ""Iron"", ""Dishwasher"", ""Coffee maker"", ""Kitchen"", ""Dishes and silverware"", ""Wifi"", ""Carbon monoxide alarm"", ""Heating"", ""Nespresso machine"", ""Backyard"", ""Refrigerator"", ""Essentials"", ""Bed linens"", ""Crib"", ""Host greets you"", ""Oven"", ""Long term stays allowed"", ""Shampoo"", ""Hair dryer"", ""Washer"", ""Smoke alarm"", ""Luggage dropoff allowed"", ""Patio or balcony""]",6,4.0,5.0,3,4.96,4.9,4.81,18,41.39211,2.17055,3.5,1,1,1,0,0.4661841487793305
10,528,la Dreta de l'Eixample,Eixample,Entire home/apt,75,34,"[""Stove"", ""Air conditioning"", ""Cooking basics"", ""Room-darkening shades"", ""Hangers"", ""TV"", ""Microwave"", ""Dishwasher"", ""Coffee maker"", ""Kitchen"", ""Dishes and silverware"", ""Wifi"", ""Heating"", ""Refrigerator"", ""Bed linens"", ""Elevator"", ""Private entrance"", ""Long term stays allowed"", ""Oven"", ""Hair dryer"", ""Washer"", ""Dedicated workspace""]",2,5.0,9.0,4,4.56,4.82,4.06,30,41.38657,2.16876,3.0,1,1,1,1,0.6023938487002837
8,525,el Barri Gòtic,Ciutat Vella,Entire home/apt,60,10,"[""Fire extinguisher"", ""Crib - available upon request"", ""Air conditioning"", ""Cooking basics"", ""Security cameras on property"", ""Dining table"", ""Paid parking garage off premises"", ""Hangers"", ""Hot water kettle"", ""Freezer"", ""Safe"", ""TV"", ""Microwave"", ""Toaster"", ""Extra pillows and blankets"", ""Pour-over coffee"", ""Iron"", ""Coffee maker"", ""Drying rack for clothing"", ""Hot water"", ""Kitchen"", ""Dishes and silverware"", ""Wifi"", ""Carbon monoxide alarm"", ""Heating"", ""Refrigerator"", ""Essentials"", ""Bed linens"", ""Standalone high chair - available upon request"", ""Outdoor shower"", ""Body soap"", ""Elevator"", ""Private entrance"", ""Host greets you"", ""Long term stays allowed"", ""Shampoo"", ""Hair dryer"", ""Washer"", ""Smoke alarm"", ""Laundromat nearby"", ""Luggage dropoff allowed"", ""Clothing storage""]",3,4.0,4.0,3,4.8,4.8,4.5,13,41.381184,2.175347,4.0,1,1,1,1,1.4076970828052868
16,524,la Dreta de l'Eixample,Eixample,Entire home/apt,53,99,"[""High chair"", ""Hangers"", ""Free dryer \u2013 In unit"", ""TV"", ""Microwave"", ""Extra pillows and blankets"", ""Iron"", ""Dishwasher"", ""Coffee maker"", ""Kitchen"", ""Hot water"", ""Dishes and silverware"", ""Wifi"", ""Carbon monoxide alarm"", ""Heating"", ""Refrigerator"", ""Essentials"", ""Bed linens"", ""Elevator"", ""Crib"", ""Host greets you"", ""Oven"", ""Long term stays allowed"", ""Pack \u2019n play/Travel crib"", ""Hair dryer"", ""AC - split type ductless system"", ""Smoke alarm"", ""Free washer \u2013 In unit""]",4,6.0,13.0,4,4.86,4.98,4.78,6,41.3962487,2.162450493,3.0,0,1,1,1,0.59941557903977
6,523,el Barri Gòtic,Ciutat Vella,Entire home/apt,56,70,"[""Kitchen"", ""Bathtub"", ""Oven"", ""Long term stays allowed"", ""Wifi"", ""Shampoo"", ""Heating"", ""TV"", ""Hair dryer"", ""Air conditioning"", ""Washer"", ""Microwave"", ""Coffee maker"", ""Iron"", ""Essentials"", ""Patio or balcony"", ""High chair"", ""Elevator"", ""Dishwasher"", ""Crib""]",2,3.0,4.0,1,4.4,4.67,4.34,139,41.37923,2.17538,2.0,1,1,1,1,1.5871823487576466
10,522,la Dreta de l'Eixample,Eixample,Entire home/apt,67,83,"[""Stove"", ""Air conditioning"", ""Dryer"", ""High chair"", ""Hangers"", ""TV"", ""Microwave"", ""Extra pillows and blankets"", ""Iron"", ""Dishwasher"", ""Coffee maker"", ""Kitchen"", ""Hot water"", ""Dishes and silverware"", ""Wifi"", ""Carbon monoxide alarm"", ""Heating"", ""Refrigerator"", ""Essentials"", ""Bed linens"", ""Host greets you"", ""Oven"", ""Long term stays allowed"", ""Pack \u2019n play/Travel crib"", ""Hair dryer"", ""Washer"", ""Smoke alarm"", ""Patio or balcony""]",7,5.0,5.0,4,4.73,4.94,4.75,6,41.3984,2.16693,4.0,1,1,1,0,0.8116126487022536
7,521,la Dreta de l'Eixample,Eixample,Entire home/apt,70,50,"[""Fire extinguisher"", ""HDTV with Apple TV, Netflix"", ""Pack \u2019n play/Travel crib - available upon request"", ""Crib - available upon request"", ""Cooking basics"", ""Security cameras on property"", ""Ethernet connection"", ""Dining table"", ""Private patio or balcony"", ""Heating - split type ductless system"", ""Hangers"", ""Hot water kettle"", ""Freezer"", ""Free dryer \u2013 In unit"", ""Microwave"", ""Toaster"", ""Iron"", ""Shower gel"", ""Wine glasses"", ""Bluetooth sound system"", ""Paid high chair - available upon request"", ""Dishwasher"", ""Coffee maker"", ""Kitchen"", ""Hot water"", ""Dishes and silverware"", ""Wifi"", ""Clothing storage: closet"", ""Nespresso machine"", ""Refrigerator"", ""Essentials"", ""Bed linens"", ""Body soap"", ""Elevator"", ""Induction stove"", ""Keypad"", ""Long term stays allowed"", ""Oven"", ""Outdoor dining area"", ""Hair dryer"", ""AC - split type ductless system"", ""Free washer \u2013 In unit"", ""Luggage dropoff allowed"", ""Dedicated workspace"", ""Shared gym in building"", ""Outdoor furniture"", ""Paid parking lot off premises""]",1,4.0,7.0,1,4.82,4.96,4.76,38,41.39001,2.16555,2.0,0,1,1,1,0.14145770966919588
5,520,el Raval,Ciutat Vella,Entire home/apt,48,40,"[""Cable TV"", ""Fire extinguisher"", ""Mini fridge"", ""Baby safety gates"", ""Stove"", ""Baking sheet"", ""Cooking basics"", ""Security cameras on property"", ""Ethernet connection"", ""Sound system"", ""Conditioner"", ""High chair"", ""Room-darkening shades"", ""Dining table"", ""Private patio or balcony"", ""Hangers"", ""Hot water kettle"", ""Freezer"", ""Free dryer \u2013 In unit"", ""Cleaning products"", ""Safe"", ""Central air conditioning"", ""Fireplace guards"", ""Children\u2019s books and toys"", ""Microwave"", ""Toaster"", ""Extra pillows and blankets"", ""Iron"", ""Shower gel"", ""Wine glasses"", ""EV charger"", ""Single level home"", ""Beach essentials"", ""Coffee maker"", ""Drying rack for clothing"", ""Hot water"", ""Kitchen"", ""First aid kit"", ""Wifi"", ""Babysitter recommendations"", ""Carbon monoxide alarm"", ""Dishes and silverware"", ""Heating"", ""Clothing storage: closet"", ""Changing table"", ""Children\u2019s dinnerware"", ""Refrigerator"", ""Essentials"", ""Outlet covers"", ""Bed linens"", ""Portable fans"", ""Table corner guards"", ""Body soap"", ""Crib"", ""Private entrance"", ""Long term stays allowed"", ""Oven"", ""Paid parking off premises"", ""Shampoo"", ""Pack \u2019n play/Travel crib"", ""Private gym nearby"", ""Hair dryer"", ""TV with standard cable"", ""Smoke alarm"", ""Laundromat nearby"", ""Free washer \u2013 In unit"", ""Luggage dropoff allowed"", ""Dedicated workspace"", ""Piano"", ""Window guards"", ""Building staff""]",0,4.0,5.0,1,4.66,4.84,4.63,7,41.37956,2.17431,4.0,0,1,1,0,1.509028410341677
14,518,la Dreta de l'Eixample,Eixample,Entire home/apt,54,19,"[""Air conditioning"", ""Cooking basics"", ""Hangers"", ""TV"", ""Microwave"", ""Iron"", ""Dishwasher"", ""Coffee maker"", ""Kitchen"", ""Hot water"", ""Dishes and silverware"", ""Wifi"", ""Heating"", ""Backyard"", ""Refrigerator"", ""Essentials"", ""Crib"", ""Keypad"", ""Long term stays allowed"", ""Oven"", ""Hair dryer"", ""Washer"", ""Dedicated workspace"", ""Patio or balcony""]",0,5.0,5.0,1,4.68,4.95,4.53,20,41.39189,2.16596,3.5,1,1,1,0,0.10323451699390142
9,516,el Poble Sec,Sants-Montjuïc,Entire home/apt,64,119,"[""Air conditioning"", ""Smart lock"", ""Hangers"", ""Hot water kettle"", ""Cleaning products"", ""TV"", ""Microwave"", ""Toaster"", ""Iron"", ""Shower gel"", ""Dishwasher"", ""Coffee maker"", ""Kitchen"", ""Hot water"", ""Dishes and silverware"", ""Wifi"", ""Heating"", ""Refrigerator"", ""Essentials"", ""Bed linens"", ""Elevator"", ""Long term stays allowed"", ""Shampoo"", ""Washer"", ""Patio or balcony"", ""Clothing storage""]",1,6.0,9.0,2,4.19,4.56,4.2,161,41.37445,2.16708,2.0,1,1,1,1,1.8736370535135418
8,516,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,Entire home/apt,57,178,"[""Cable TV"", ""Stove"", ""Air conditioning"", ""Cooking basics"", ""Security cameras on property"", ""High chair"", ""Hangers"", ""Microwave"", ""Extra pillows and blankets"", ""Lockbox"", ""Iron"", ""Dishwasher"", ""Coffee maker"", ""Kitchen"", ""Hot water"", ""Dishes and silverware"", ""Wifi"", ""Heating"", ""Refrigerator"", ""Essentials"", ""Bed linens"", ""Elevator"", ""Crib"", ""Private entrance"", ""Long term stays allowed"", ""Oven"", ""Paid parking off premises"", ""Shampoo"", ""Hair dryer"", ""TV with standard cable"", ""Washer"", ""Patio or balcony""]",5,4.0,7.0,1,4.88,4.96,4.49,3,41.38386,2.1796,2.0,1,1,1,1,1.4623590577647103
10,513,la Dreta de l'Eixample,Eixample,Entire home/apt,36,41,"[""Kitchen"", ""Long term stays allowed"", ""Dishes and silverware"", ""Wifi"", ""Paid parking off premises"", ""Pack \u2019n play/Travel crib"", ""Heating"", ""TV"", ""Hair dryer"", ""Air conditioning"", ""Washer"", ""Microwave"", ""Security cameras on property"", ""Iron"", ""High chair"", ""Elevator"", ""Dishwasher"", ""Coffee maker""]",4,5.0,5.0,1,4.59,4.9,4.56,3,41.39403,2.16408,5.0,1,1,1,1,0.3220708235878684
6,513,la Dreta de l'Eixample,Eixample,Entire home/apt,55,23,"[""Air conditioning"", ""Smart lock"", ""Hangers"", ""Hot water kettle"", ""Cleaning products"", ""TV"", ""Microwave"", ""Toaster"", ""Iron"", ""Shower gel"", ""Dishwasher"", ""Coffee maker"", ""Kitchen"", ""Hot water"", ""Dishes and silverware"", ""Wifi"", ""Refrigerator"", ""Essentials"", ""Bed linens"", ""Elevator"", ""Long term stays allowed"", ""Oven"", ""Shampoo"", ""Washer"", ""Patio or balcony"", ""Clothing storage""]",2,3.0,5.0,2,4.7,4.87,4.48,161,41.39191,2.17109,2.0,1,1,1,1,0.5065454740210757
4,512,la Vila de Gràcia,Gràcia,Entire home/apt,37,11,"[""Cable TV"", ""Fire extinguisher"", ""Baby bath"", ""Stove"", ""Air conditioning"", ""Cooking basics"", ""Dining table"", ""High chair"", ""Room-darkening shades"", ""Gym in building"", ""Hangers"", ""Hot water kettle"", ""Freezer"", ""Bathtub"", ""Free dryer \u2013 In unit"", ""Safe"", ""Children\u2019s books and toys"", ""Microwave"", ""Toaster"", ""Extra pillows and blankets"", ""Iron"", ""Shower gel"", ""Wine glasses"", ""Shared patio or balcony"", ""Dishwasher"", ""Coffee maker"", ""Kitchen"", ""Hot water"", ""Dishes and silverware"", ""Wifi"", ""Babysitter recommendations"", ""Carbon monoxide alarm"", ""Heating"", ""Clothing storage: closet"", ""Changing table"", ""Refrigerator"", ""Essentials"", ""Bed linens"", ""Private fenced garden or backyard"", ""Game console"", ""Body soap"", ""Elevator"", ""Crib"", ""Host greets you"", ""Oven"", ""Long term stays allowed"", ""Paid parking off premises"", ""Shampoo"", ""Hair dryer"", ""TV with standard cable"", ""Smoke alarm"", ""Free washer \u2013 In unit"", ""Luggage dropoff allowed"", ""Shared pool"", ""Outdoor furniture""]",0,1.0,1.0,2,4.82,4.9,4.7,3,41.39587,2.15592,2.0,1,1,1,1,0.9221171858996285
10,512,la Dreta de l'Eixample,Eixample,Entire home/apt,63,76,"[""Cable TV"", ""Fire extinguisher"", ""Stove"", ""Air conditioning"", ""Cooking basics"", ""Dryer"", ""High chair"", ""Hangers"", ""Microwave"", ""Paid parking on premises"", ""Iron"", ""Dishwasher"", ""Coffee maker"", ""Hot tub"", ""Kitchen"", ""Hot water"", ""Dishes and silverware"", ""Wifi"", ""Carbon monoxide alarm"", ""Heating"", ""Refrigerator"", ""Essentials"", ""Elevator"", ""Crib"", ""Long term stays allowed"", ""Oven"", ""Paid parking off premises"", ""Shampoo"", ""Pack \u2019n play/Travel crib"", ""Hair dryer"", ""TV with standard cable"", ""Washer"", ""Smoke alarm"", ""Luggage dropoff allowed"", ""Dedicated workspace"", ""Building staff""]",0,5.0,7.0,2,4.68,4.77,4.48,6,41.39479,2.17462,3.0,1,1,1,1,0.8882735437381079
8,509,la Dreta de l'Eixample,Eixample,Entire home/apt,69,17,"[""Cable TV"", ""Fire extinguisher"", ""Stove"", ""Air conditioning"", ""Cooking basics"", ""Private patio or balcony"", ""Hangers"", ""Bathtub"", ""Microwave"", ""Dishwasher"", ""Coffee maker"", ""Kitchen"", ""Hot water"", ""Dishes and silverware"", ""Wifi"", ""Heating"", ""Refrigerator"", ""Essentials"", ""Bed linens"", ""Private fenced garden or backyard"", ""Elevator"", ""Private entrance"", ""Host greets you"", ""Oven"", ""Long term stays allowed"", ""Outdoor dining area"", ""TV with standard cable"", ""Smoke alarm"", ""Free washer \u2013 In unit"", ""Outdoor furniture""]",1,3.0,6.0,2,4.12,5.0,4.24,2,41.38815,2.17219,1.5,1,1,1,1,0.684728253984374
8,509,la Dreta de l'Eixample,Eixample,Entire home/apt,83,20,"[""Cable TV"", ""Fire extinguisher"", ""Stove"", ""Air conditioning"", ""Private patio or balcony"", ""Room-darkening shades"", ""Hangers"", ""Bathtub"", ""Microwave"", ""Dishwasher"", ""Kitchen"", ""Hot water"", ""Dishes and silverware"", ""Wifi"", ""Heating"", ""Refrigerator"", ""Essentials"", ""Bed linens"", ""Elevator"", ""Private entrance"", ""Host greets you"", ""Oven"", ""Long term stays allowed"", ""TV with standard cable"", ""Washer"", ""Smoke alarm"", ""Dedicated workspace""]",0,3.0,6.0,2,3.95,4.95,4.05,2,41.3881511,2.1721898,1.5,1,1,0,1,0.6846525688005426
9,508,el Poble Sec,Sants-Montjuïc,Entire home/apt,58,64,"[""Air conditioning"", ""Dryer"", ""Smart lock"", ""Hangers"", ""Hot water kettle"", ""Cleaning products"", ""TV"", ""Microwave"", ""Toaster"", ""Iron"", ""Shower gel"", ""Dishwasher"", ""Coffee maker"", ""Kitchen"", ""Hot water"", ""Dishes and silverware"", ""Wifi"", ""Heating"", ""Refrigerator"", ""Essentials"", ""Bed linens"", ""Elevator"", ""Long term stays allowed"", ""Shampoo"", ""Hair dryer"", ""Washer"", ""Clothing storage""]",0,5.0,9.0,2,4.39,4.7,4.38,161,41.3737,2.16833,2.0,1,1,1,1,1.9683332076777522
10,508,la Dreta de l'Eixample,Eixample,Entire home/apt,74,54,"[""Fire extinguisher"", ""Air conditioning"", ""Dryer"", ""High chair"", ""Room-darkening shades"", ""Bedroom comforts"", ""Bathtub"", ""Smoking allowed"", ""TV"", ""Iron"", ""Bathroom essentials"", ""Dishwasher"", ""Coffee maker"", ""Free street parking"", ""Wifi"", ""Carbon monoxide alarm"", ""Heating"", ""Elevator"", ""Crib"", ""Paid parking off premises"", ""Pack \u2019n play/Travel crib"", ""Hair dryer"", ""Washer"", ""Smoke alarm"", ""Full kitchen""]",2,5.0,9.0,1,4.58,4.96,4.42,6,41.38834,2.1707,2.0,1,0,1,1,0.5682574832091772
13,505,la Dreta de l'Eixample,Eixample,Entire home/apt,28,17,"[""Stove"", ""Air conditioning"", ""Paid parking lot on premises"", ""Dryer"", ""Hangers"", ""Bathtub"", ""TV"", ""Microwave"", ""Iron"", ""Dishwasher"", ""Coffee maker"", ""Kitchen"", ""Hot water"", ""Dishes and silverware"", ""Wifi"", ""Heating"", ""Refrigerator"", ""Essentials"", ""Bed linens"", ""Elevator"", ""Private entrance"", ""Host greets you"", ""Oven"", ""Long term stays allowed"", ""Shampoo"", ""Hair dryer"", ""Washer"", ""Smoke alarm"", ""Dedicated workspace""]",0,5.0,8.0,2,4.12,4.88,4.53,12,41.39404,2.17187,4.0,1,1,1,1,0.6463221783246834
8,504,la Dreta de l'Eixample,Eixample,Entire home/apt,54,132,"[""Fire extinguisher"", ""Stove"", ""Air conditioning"", ""Cooking basics"", ""Private patio or balcony"", ""High chair"", ""Room-darkening shades"", ""Hangers"", ""Iron"", ""Kitchen"", ""Hot water"", ""First aid kit"", ""Wifi"", ""Babysitter recommendations"", ""Heating"", ""Refrigerator"", ""Essentials"", ""Elevator"", ""Crib"", ""Keypad"", ""Long term stays allowed"", ""Paid parking off premises"", ""Shampoo"", ""Pack \u2019n play/Travel crib"", ""Hair dryer""]",2,4.0,4.0,2,4.92,4.96,4.73,3,41.39012,2.17728,4.0,1,1,0,1,1.0248130516715155
15,501,la Dreta de l'Eixample,Eixample,Entire home/apt,22,22,"[""Stove"", ""Air conditioning"", ""Cooking basics"", ""Dryer"", ""Room-darkening shades"", ""Hangers"", ""TV"", ""Microwave"", ""Extra pillows and blankets"", ""Iron"", ""Shower gel"", ""Dishwasher"", ""Coffee maker"", ""Kitchen"", ""Hot water"", ""Dishes and silverware"", ""Wifi"", ""Heating"", ""Refrigerator"", ""Essentials"", ""Bed linens"", ""Host greets you"", ""Oven"", ""Long term stays allowed"", ""Paid parking off premises"", ""Shampoo"", ""Hair dryer"", ""Washer"", ""Patio or balcony""]",1,6.0,10.0,3,4.68,4.95,4.64,43,41.38592,2.16655,5.0,1,1,1,0,0.6033309334088774
6,500,Sant Antoni,Eixample,Entire home/apt,70,32,"[""Air conditioning"", ""Cooking basics"", ""Dryer"", ""High chair"", ""Hangers"", ""TV"", ""Paid parking on premises"", ""Iron"", ""Kitchen"", ""Hot water"", ""Dishes and silverware"", ""Wifi"", ""Heating"", ""Refrigerator"", ""Essentials"", ""Elevator"", ""Crib"", ""Host greets you"", ""Long term stays allowed"", ""Hair dryer"", ""Washer"", ""Luggage dropoff allowed"", ""Patio or balcony""]",0,2.0,4.0,4,4.94,4.81,4.68,2,41.3787,2.15813,2.0,1,1,0,1,1.509619316046948
4,500,l'Antiga Esquerra de l'Eixample,Eixample,Entire home/apt,74,5,"[""Kitchen"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Shampoo"", ""Heating"", ""TV"", ""Hair dryer"", ""Air conditioning"", ""Washer"", ""Smoke alarm"", ""Wifi \u2013 31 Mbps"", ""Refrigerator"", ""Iron"", ""Essentials"", ""Patio or balcony"", ""Backyard"", ""Elevator"", ""Hangers""]",0,2.0,3.0,1,5.0,4.4,4.4,8,41.38776,2.15221,1.0,1,1,0,1,1.1413958726991786
3,500,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,Entire home/apt,2,3,"[""Cable TV"", ""Window AC unit"", ""Fast wifi \u2013 116 Mbps"", ""Stove"", ""Cooking basics"", ""Private patio or balcony"", ""Hangers"", ""Central air conditioning"", ""Microwave"", ""Extra pillows and blankets"", ""Iron"", ""Dishwasher"", ""Coffee maker"", ""Kitchen"", ""Hot water"", ""Dishes and silverware"", ""Carbon monoxide alarm"", ""Heating"", ""Refrigerator"", ""Essentials"", ""Bed linens"", ""Crib"", ""Host greets you"", ""Oven"", ""Long term stays allowed"", ""Shampoo"", ""Pack \u2019n play/Travel crib"", ""Hair dryer"", ""TV with standard cable"", ""Smoke alarm"", ""Free washer \u2013 In unit"", ""Luggage dropoff allowed""]",0,1.0,1.0,32,4.67,5.0,4.67,1,41.38999,2.18187,1.0,0,1,1,0,1.4070183532700427
3,500,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,Entire home/apt,4,12,"[""Stove"", ""Cooking basics"", ""Dining table"", ""Private patio or balcony"", ""Room-darkening shades"", ""Hangers"", ""Hot water kettle"", ""Freezer"", ""Bathtub"", ""Central air conditioning"", ""TV"", ""Microwave"", ""Toaster"", ""Extra pillows and blankets"", ""Iron"", ""Clothing storage: dresser and closet"", ""Wine glasses"", ""Dishwasher"", ""Coffee maker"", ""Free street parking"", ""Kitchen"", ""Hot water"", ""Dishes and silverware"", ""Heating"", ""Refrigerator"", ""Essentials"", ""Bed linens"", ""Crib"", ""Host greets you"", ""Oven"", ""Long term stays allowed"", ""Fast wifi \u2013 239 Mbps"", ""Pack \u2019n play/Travel crib"", ""Hair dryer"", ""Smoke alarm"", ""Free washer \u2013 In unit"", ""Luggage dropoff allowed""]",0,1.0,1.0,32,4.75,4.75,4.67,1,41.39039,2.17998,1.0,0,1,1,0,1.24607420991966
10,500,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,Entire home/apt,51,1,"[""Stove"", ""Air conditioning"", ""Cooking basics"", ""High chair"", ""Room-darkening shades"", ""Hangers"", ""TV"", ""Microwave"", ""Extra pillows and blankets"", ""Iron"", ""Dishwasher"", ""Coffee maker"", ""Kitchen"", ""Hot water"", ""Dishes and silverware"", ""Wifi"", ""Heating"", ""Refrigerator"", ""Essentials"", ""Bed linens"", ""Elevator"", ""Crib"", ""Private entrance"", ""Long term stays allowed"", ""Oven"", ""Paid parking off premises"", ""Hair dryer"", ""Washer"", ""Patio or balcony""]",0,6.0,10.0,1,5.0,5.0,5.0,127,41.3832,2.18127,3.0,1,1,1,1,1.6189662609290196
7,500,el Barri Gòtic,Ciutat Vella,Entire home/apt,68,1,"[""Cable TV"", ""Central heating"", ""Cooking basics"", ""Ethernet connection"", ""Dining table"", ""Private patio or balcony"", ""Smart lock"", ""Hangers"", ""Hot water kettle"", ""Freezer"", ""Free dryer \u2013 In unit"", ""Cleaning products"", ""Central air conditioning"", ""Microwave"", ""Toaster"", ""Iron"", ""Shower gel"", ""Wine glasses"", ""Paid high chair - available upon request"", ""Dishwasher"", ""Coffee maker"", ""Kitchen"", ""Hot water"", ""Dishes and silverware"", ""Wifi"", ""Nespresso machine"", ""Clothing storage: closet and dresser"", ""Refrigerator"", ""Essentials"", ""Bed linens"", ""HDTV with standard cable"", ""Body soap"", ""Elevator"", ""Induction stove"", ""Paid pack \u2019n play/travel crib - available upon request"", ""Oven"", ""Long term stays allowed"", ""Hair dryer"", ""Free washer \u2013 In unit"", ""Luggage dropoff allowed"", ""Outdoor furniture"", ""Paid parking lot off premises""]",0,3.0,3.0,28,5.0,5.0,5.0,40,41.37807,2.17677,2.5,0,1,1,1,1.7586269769561387
10,499,la Vila Olímpica del Poblenou,Sant Martí,Entire home/apt,25,113,"[""Stove"", ""Air conditioning"", ""Cooking basics"", ""High chair"", ""Hangers"", ""TV"", ""Children\u2019s books and toys"", ""Microwave"", ""Extra pillows and blankets"", ""Iron"", ""Dishwasher"", ""Coffee maker"", ""Kitchen"", ""Hot water"", ""Dishes and silverware"", ""Wifi"", ""Heating"", ""Pool"", ""Refrigerator"", ""Essentials"", ""Bed linens"", ""Elevator"", ""Crib"", ""Host greets you"", ""Oven"", ""Long term stays allowed"", ""Paid parking off premises"", ""Shampoo"", ""Pack \u2019n play/Travel crib"", ""Hair dryer"", ""Washer"", ""Smoke alarm"", ""Luggage dropoff allowed"", ""Patio or balcony""]",1,5.0,8.0,3,4.58,4.81,4.44,61,41.39136,2.19325,2.5,1,1,1,1,2.3495525257754926
6,499,la Dreta de l'Eixample,Eixample,Entire home/apt,43,30,"[""Stove"", ""Air conditioning"", ""Cooking basics"", ""Security cameras on property"", ""Private patio or balcony"", ""Room-darkening shades"", ""Hangers"", ""TV"", ""Microwave"", ""Iron"", ""Dishwasher"", ""Coffee maker"", ""Kitchen"", ""Hot water"", ""Dishes and silverware"", ""Wifi"", ""Heating"", ""Refrigerator"", ""Essentials"", ""Elevator"", ""Crib"", ""Long term stays allowed"", ""Oven"", ""Outdoor dining area"", ""Paid parking off premises"", ""Shampoo"", ""Hair dryer"", ""Washer"", ""Smoke alarm"", ""Luggage dropoff allowed"", ""Dedicated workspace"", ""Outdoor furniture"", ""Building staff""]",2,3.0,6.0,3,4.86,5.0,4.69,20,41.3939,2.16979,2.0,1,1,1,1,0.49189081397035794
